Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.620128204072825,1.6933496532784904,1.6032956390403943,1.6916663646697998,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127072205329,1.7160736376747991,1.67062596283198,1.6832503080368042,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832504163818824,1.6874584782119295,1.6580017243470617,1.674834132194519,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.6664175486654447,1.6664175486654447,1.578046981890474,1.607503890991211,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.6159201962322578,1.6622095108032227,1.6032956917790468,1.6622095108032227,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.656318848774789,1.6706264873059105,1.6411695655621537,1.6580021381378174,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.6706259454888581,1.6706259454888581,1.6159203431510243,1.6285446882247925,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.624336267719021,1.653793176310244,1.6058205745749103,1.6411688327789307,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.6327525502489757,1.6580013978388402,1.6066622188806294,1.6411688327789307,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.6285451468153018,1.629386791460857,1.5990882263300767,1.6117125749588013,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159201736667415,1.6369608000919478,1.607503890991211,1.607503890991211,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032957847876526,1.6453770406668797,1.5974044346489211,1.6302279233932495,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.6369615026818922,1.667259908579854,1.6344365686373499,1.6580021381378174,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.649585183777812,1.6537932449538337,1.6125536354252938,1.6201282739639282,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286760257976,1.6352776829659528,1.6159203431510243,1.6285446882247925,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.6285446237002636,1.7337477626921767,1.6285446237002636,1.718598484992981,2700800,0.0,0.0
